uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
1764079705,"25 Nov 2025, 14:08",SCH,070a4a70-705b-41ba-a30a-cac559c781f8,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,Deux mille,d123c063-e79a-4643-b1d4-65d23cfae0e9
1764079475,"25 Nov 2025, 14:04",SCH,070a4a70-705b-41ba-a30a-cac559c781f8,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,MIROIRS,2e23c719-78ee-4094-9673-cda4f4d1c13f
1764079426,"25 Nov 2025, 14:03",SCH,070a4a70-705b-41ba-a30a-cac559c781f8,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,Interlude - Avversita,28a9f394-a976-4042-87fa-056758b105dc
1764079216,"25 Nov 2025, 14:00",SCH,070a4a70-705b-41ba-a30a-cac559c781f8,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,Dans la tête,f07283e6-8e70-402c-a3a5-18e323cf2baa
1764079094,"25 Nov 2025, 13:58",SCH,070a4a70-705b-41ba-a30a-cac559c781f8,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,Le taulier,9896dd04-0204-4064-bd62-b738d0020bfa
1764078596,"25 Nov 2025, 13:49",SCH,070a4a70-705b-41ba-a30a-cac559c781f8,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,Stigmates,
1764078314,"25 Nov 2025, 13:45",SCH,070a4a70-705b-41ba-a30a-cac559c781f8,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,Lumière blanche (Ad Finem),9362aa02-b593-4498-b713-85dc172cb074
1764078059,"25 Nov 2025, 13:40",SCH,070a4a70-705b-41ba-a30a-cac559c781f8,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,MISSILES,cf7c7063-5cfb-41c5-b3c3-563675399490
1764077831,"25 Nov 2025, 13:37",SCH,,JVLIVS III : Ad Finem,21901a35-8505-4f35-90c6-cdbe91095d82,Interlude - Jour d’octobre,
1764073205,"25 Nov 2025, 12:20",PinkPantheress,7441014f-f8f5-494f-81db-ff166fbc078d,Girl Like Me + Kaytranada,,Girl Like Me + Kaytranada,b643fd65-5e78-40cb-99dc-50a6bba5b30d
1764072777,"25 Nov 2025, 12:12",FEMTOGO,,archives,,ÉPINE,
1764072644,"25 Nov 2025, 12:10",FEMTOGO,,archives,,LIE,
1764072481,"25 Nov 2025, 12:08",Adèle Castillon,d87c77e3-3512-41ed-b241-6387d4a6ae4e,Crèvecoeur,8aa966d5-59e2-42e0-9b59-5d834c899cd0,À la folie,
1764072239,"25 Nov 2025, 12:03",DJ Heartstring,,FOREVER,,Air,
1764065536,"25 Nov 2025, 10:12",DJ Heartstring,,FOREVER,,Air,
1764057882,"25 Nov 2025, 08:04",Marlon Hoffstadt,,All Yours,,Pure Love,
1764057435,"25 Nov 2025, 07:57",eyeto8,,The Old Electronic Eldorado,,Lost Disco Thrills,
1764057294,"25 Nov 2025, 07:54",Biga*Ranx,,RAINSHINE,,Mountain Top,da619bae-7361-4d85-8627-e0d4119becbb
1764057152,"25 Nov 2025, 07:52",aupinard,12aa25fe-995e-405d-87ad-bf699a99d304,texto,,texto,3ce4e03e-1a78-4b7e-8b8c-060e901bdd01
1764056910,"25 Nov 2025, 07:48",L'Impératrice,,chrysalis,,chrysalis,
1764056785,"25 Nov 2025, 07:46",Mairo,,ANTIOXYDANT,,ANTIOXYDANT,
1764056520,"25 Nov 2025, 07:42",Jungle Jack,f52ac7bf-958b-4ba2-9335-ee4cbc504227,JUNGLE DES ILLUSIONS VOL 2,bcf6addc-dd3b-4741-9a96-590f7c1a6e37,CHARBON ET DEVOUEMENT,2758be5c-cc10-4617-b0d7-dc760dd0c789
1764056363,"25 Nov 2025, 07:39",Isha,,Berlingo,,Berlingo,
1764056149,"25 Nov 2025, 07:35",Prozak,,Dista,,Dista,
1764055937,"25 Nov 2025, 07:32",Interplanetary Criminal,02ebebd7-120e-4341-ac89-90e666d49c9e,ATW007,,GUNMAN,
1764055645,"25 Nov 2025, 07:27",Oldboy,15892a6a-7fd6-478b-aed7-b31447fca076,On My Way,,Extender,
1764055496,"25 Nov 2025, 07:24",Theodora,3d519348-d1eb-4e8d-aab4-85ebe819bc46,Blues d’hiver,7ff3e8c6-0f17-49ba-a94d-5f1b6c16d041,Blues d’hiver,
