uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1764055214","25 Nov 2025, 07:20","The Stranglers","a96d82a0-cdca-40bf-b4c8-3d7ec178d85b","Golden Brown","1eb06e16-5e3e-4358-b012-a518543c483b","Golden Brown",""
"1764055014","25 Nov 2025, 07:16","Léman","3a6e8e8e-7ced-4f7c-bdf2-eccc05daed5e","Adieu Musique","5567e5d7-6279-4ad4-b7d6-cac14d765555","Mélancolie jolie",""
"1764054812","25 Nov 2025, 07:13","Kyo","","Ultraviolent","72c4587b-8d49-482b-9f93-d3d1e9474a7f","ULTRAVIOLENT",""
"1764054581","25 Nov 2025, 07:09","Kyo","","Ultraviolent","72c4587b-8d49-482b-9f93-d3d1e9474a7f","LES AMANTS",""
"1764054410","25 Nov 2025, 07:06","Lisa Pariente","4c6885f8-7f94-4dc5-a3eb-ab51362d0804","Les bonbons","","Les bonbons",""
"1764054278","25 Nov 2025, 07:04","Léman","3a6e8e8e-7ced-4f7c-bdf2-eccc05daed5e","Adieu Musique","5567e5d7-6279-4ad4-b7d6-cac14d765555","Mélancolie jolie",""
"1764054037","25 Nov 2025, 07:00","Lenaïg","","Je ne pense qu'à ça","","Du ferme",""
"1764053817","25 Nov 2025, 06:56","Loïc Nottet","20607ae1-bc68-42b9-b727-ed58ae6f4318","Addictocrate","9088dccc-e809-464b-9cf0-ebd5f6088c2c","Cygne",""
"1764053578","25 Nov 2025, 06:52","Nava","","Trop tard","","Trop tard",""
"1764021393","24 Nov 2025, 21:56","Lisa Pariente","4c6885f8-7f94-4dc5-a3eb-ab51362d0804","Les bonbons","","Les bonbons",""
"1764021183","24 Nov 2025, 21:53","Kyo","","Ultraviolent","72c4587b-8d49-482b-9f93-d3d1e9474a7f","VENDETTA",""
"1764021009","24 Nov 2025, 21:50","Lenaïg","","Je ne pense qu'à ça","","Du ferme",""
"1764020789","24 Nov 2025, 21:46","Loïc Nottet","20607ae1-bc68-42b9-b727-ed58ae6f4318","Addictocrate","9088dccc-e809-464b-9cf0-ebd5f6088c2c","Cygne",""
"1764020643","24 Nov 2025, 21:44","Nava","","Trop tard","","Trop tard",""
"1764020254","24 Nov 2025, 21:37","Kyo","","Ultraviolent","72c4587b-8d49-482b-9f93-d3d1e9474a7f","VENDETTA",""
"1764020089","24 Nov 2025, 21:34","Fredz","","Demain il fera beau","","Le stade","a98a8eec-2422-4819-ab48-958ef6a867d9"
"1764019989","24 Nov 2025, 21:33","Mathilde","f7b37e03-d216-4144-901a-cebca6426416","A la gloire des femmes en deuil","","A la gloire des femmes en deuil","840b196d-21a1-4d7d-8564-4a289c8f1536"
"1764019815","24 Nov 2025, 21:30","Lisa Pariente","4c6885f8-7f94-4dc5-a3eb-ab51362d0804","Antidépresseur","88020421-706b-4aef-85e1-7aa751fcf38b","Regarde-moi",""
"1764019585","24 Nov 2025, 21:26","Léman","3a6e8e8e-7ced-4f7c-bdf2-eccc05daed5e","Adieu Musique","5567e5d7-6279-4ad4-b7d6-cac14d765555","Si je pars",""
"1764019439","24 Nov 2025, 21:23","Rachel au piano","8837e3c9-bc39-4cdd-867c-8bbf3d3d6f60","Voldemort en thérapie","","Voldemort en thérapie",""
"1764019205","24 Nov 2025, 21:20","Louvv","","Les étoiles du passé","","Les étoiles du passé",""
"1764019057","24 Nov 2025, 21:17","Alien","","L'orage","","Demain","82003245-1d58-47c2-8df7-24073deed426"
"1764018857","24 Nov 2025, 21:14","Zaho de Sagazan","87685458-1aef-49b7-945b-03a892d9c482","La symphonie des éclairs","ebf8af42-1318-4d48-90d8-1d8e78eec1d7","La symphonie des éclairs","631df8b8-6a2d-4341-ba4b-0c2821a3f8b4"
"1764018718","24 Nov 2025, 21:11","Léman","3a6e8e8e-7ced-4f7c-bdf2-eccc05daed5e","Petit Garçon","","Petit Garçon",""
"1764018556","24 Nov 2025, 21:09","Lisa Pariente","4c6885f8-7f94-4dc5-a3eb-ab51362d0804","Chère petite moi","","Chère petite moi",""
"1764018353","24 Nov 2025, 21:05","Vernis Rouge","","Comme des loups (feat. Zaoui)","","Comme des loups (feat. Zaoui)",""
"1764018170","24 Nov 2025, 21:02","Solann","562d445c-f7ee-41d5-bc85-1c39302c9935","Si on sombre ce sera beau","864bc18a-81d2-4b24-8f12-e062aaba8299","L'oiseau",""
"1764018021","24 Nov 2025, 21:00","Alien","","Après l'orage","cdbc60fd-3985-4de2-9bec-bbeea00c7825","Mon amour",""
"1764017855","24 Nov 2025, 20:57","Léman","3a6e8e8e-7ced-4f7c-bdf2-eccc05daed5e","On est plein","","Ton visage",""
"1764017473","24 Nov 2025, 20:51","Loïc Nottet","20607ae1-bc68-42b9-b727-ed58ae6f4318","Sillygomania","eee95479-3216-42f5-afca-30c215fc43c8","Mr/Mme","fc0b3344-266c-48cd-a75a-c537b6a48274"
"1764017303","24 Nov 2025, 20:48","Pierre de Maere","","Un jour, je","37fb17bf-44e6-4a6a-901f-e502844a47c3","Lolita - Version piano - Bonus",""
